R	T
1.943	13.94
1.951	14.19
1.958	14.45
1.974	14.72
1.982	14.99
2.000	15.26
2.008	15.54
2.024	15.83
2.040	16.12
2.056	16.42
2.072	16.72
2.088	17.02
2.105	17.33
2.127	17.65
2.152	17.98
2.169	18.31
2.198	18.64
2.224	18.98
2.247	19.33
2.277	19.69
2.307	20.05
2.337	20.41
2.374	20.79
2.412	21.17
2.450	21.56
2.492	21.95
2.539	22.36
2.586	22.77
2.633	23.18
2.682	23.61
2.739	24.04
2.793	24.48
2.860	24.93
2.921	25.39
2.979	25.85
3.046	26.33
3.119	26.73
3.189	27.14
3.269	27.63
3.347	28.14
3.427	28.57
3.509	29.01
3.593	29.54
3.708	30.08
3.786	30.57
3.887	31.00
3.980	31.48
4.064	31.89
4.161	32.35
4.271	32.74
4.373	33.24
4.460	33.64
4.573	34.16
4.682	34.57
4.806	35.00
4.931	35.58
5.105	36.29
5.227	36.73
5.365	37.18
5.522	37.86
5.654	38.32
5.804	38.79
5.974	39.50
6.117	39.98
6.263	40.47
6.429	40.96
6.622	41.71
6.775	42.14
6.937	42.65
7.103	43.17
7.272	43.70
7.446	44.32
7.623	44.77
7.805	45.31
7.992	45.87
8.183	46.42
8.378	46.99
8.578	47.56
8.783	48.24
8.981	48.68
9.231	49.42
9.507	50.33
9.728	50.84
9.960	51.46
10.198	52.09
10.441	52.83
10.691	53.47
10.946	54.12
11.207	54.78
11.475	55.45
11.780	56.13
12.061	56.98
12.316	57.73
12.610	58.44
12.911	59.15
13.202	59.81
13.571	60.72
13.968	61.84
14.339	62.59
14.642	63.61
14.992	64.51
15.390	65.30
15.840	66.50
16.261	67.31
16.781	68.54
17.249	69.59
17.626	70.43
18.011	71.51
18.520	73.15
18.952	74.15
19.384	75.15
19.815	76.15
20.247	77.15
20.677	78.15
21.108	79.15
21.538	80.15
21.967	81.15
22.397	82.15
22.826	83.15
23.254	84.15
23.682	85.15
24.11	86.15
24.538	87.15
24.965	88.15
25.392	89.15
25.819	90.15
26.245	91.15
26.671	92.15
27.096	93.15
27.522	94.15
27.947	95.15
28.371	96.15
28.796	97.15
29.22	98.15
29.643	99.15
30.067	100.15
30.49	101.15
30.913	102.15
31.335	103.15
31.757	104.15
32.179	105.15
32.601	106.15
33.022	107.15
33.443	108.15
33.864	109.15
34.284	110.15
34.704	111.15
35.124	112.15
35.543	113.15
35.963	114.15
36.382	115.15
36.8	116.15
37.219	117.15
37.637	118.15
38.055	119.15
38.472	120.15
38.889	121.15
39.306	122.15
39.723	123.15
40.14	124.15
40.556	125.15
40.972	126.15
41.388	127.15
41.803	128.15
42.218	129.15
42.633	130.15
43.048	131.15
43.462	132.15
43.876	133.15
44.29	134.15
44.704	135.15
45.118	136.15
45.531	137.15
45.944	138.15
46.356	139.15
46.769	140.15
47.181	141.15
47.593	142.15
48.005	143.15
48.416	144.15
48.828	145.15
49.239	146.15
49.65	147.15
50.06	148.15
50.471	149.15
50.881	150.15
51.291	151.15
51.7	152.15
52.11	153.15
52.519	154.15
52.928	155.15
53.337	156.15
53.746	157.15
54.154	158.15
54.562	159.15
54.97	160.15
55.378	161.15
55.786	162.15
56.193	163.15
56.6	164.15
57.007	165.15
57.414	166.15
57.821	167.15
58.227	168.15
58.633	169.15
59.039	170.15
59.445	171.15
59.85	172.15
60.256	173.15
60.661	174.15
61.066	175.15
61.471	176.15
61.876	177.15
62.28	178.15
62.684	179.15
63.088	180.15
63.492	181.15
63.896	182.15
64.3	183.15
64.703	184.15
65.106	185.15
65.509	186.15
65.912	187.15
66.315	188.15
66.717	189.15
67.12	190.15
67.522	191.15
67.924	192.15
68.325	193.15
68.727	194.15
69.129	195.15
69.53	196.15
69.931	197.15
70.332	198.15
70.733	199.15
71.134	200.15
71.534	201.15
71.934	202.15
72.335	203.15
72.735	204.15
73.134	205.15
73.534	206.15
73.934	207.15
74.333	208.15
74.732	209.15
75.132	210.15
75.53	211.15
75.929	212.15
76.328	213.15
76.726	214.15
77.125	215.15
77.523	216.15
77.921	217.15
78.319	218.15
78.717	219.15
79.114	220.15
79.512	221.15
79.909	222.15
80.306	223.15
80.703	224.15
81.1	225.15
81.497	226.15
81.894	227.15
82.29	228.15
82.687	229.15
83.083	230.15
83.479	231.15
83.875	232.15
84.271	233.15
84.666	234.15
85.062	235.15
85.457	236.15
85.853	237.15
86.248	238.15
86.643	239.15
87.038	240.15
87.433	241.15
87.827	242.15
88.222	243.15
88.616	244.15
89.01	245.15
89.404	246.15
89.799	247.15
90.192	248.15
90.586	249.15
90.98	250.15
91.373	251.15
91.767	252.15
92.16	253.15
92.553	254.15
92.946	255.15
93.339	256.15
93.732	257.15
94.124	258.15
94.517	259.15
94.909	260.15
95.302	261.15
95.694	262.15
96.086	263.15
96.478	264.15
96.87	265.15
97.261	266.15
97.653	267.15
98.044	268.15
98.436	269.15
98.827	270.15
99.218	271.15
99.609	272.15
100	273.15
100.391	274.15
100.781	275.15
101.172	276.15
101.562	277.15
101.953	278.15
102.343	279.15
102.733	280.15
103.123	281.15
103.513	282.15
103.903	283.15
104.292	284.15
104.682	285.15
105.071	286.15
105.46	287.15
105.849	288.15
106.238	289.15
106.627	290.15
107.016	291.15
107.405	292.15
107.794	293.15
108.182	294.15
108.57	295.15
108.959	296.15
109.347	297.15
109.735	298.15
110.123	299.15
110.51	300.15
110.898	301.15
111.286	302.15
111.673	303.15
112.06	304.15
112.447	305.15
112.835	306.15
113.221	307.15
113.608	308.15
113.995	309.15
114.382	310.15
114.768	311.15
115.155	312.15
115.541	313.15
115.927	314.15
116.313	315.15
116.699	316.15
117.085	317.15
117.47	318.15
117.856	319.15
118.241	320.15
118.627	321.15
119.012	322.15
119.397	323.15
119.782	324.15
120.167	325.15
120.552	326.15
120.936	327.15
121.321	328.15
121.705	329.15
122.09	330.15
122.474	331.15
122.858	332.15
123.242	333.15
123.626	334.15
124.009	335.15
124.393	336.15
124.777	337.15
125.16	338.15
125.543	339.15
125.926	340.15
126.309	341.15
126.692	342.15
127.075	343.15
127.458	344.15
127.84	345.15
128.223	346.15
128.605	347.15
128.987	348.15
129.37	349.15
129.752	350.15
130.133	351.15
130.515	352.15
130.897	353.15
131.278	354.15
131.66	355.15
132.041	356.15
132.422	357.15
132.803	358.15
133.184	359.15
133.565	360.15
133.946	361.15
134.326	362.15
134.707	363.15
135.087	364.15
135.468	365.15
135.848	366.15
136.228	367.15
136.608	368.15
136.987	369.15
137.367	370.15
137.747	371.15
138.126	372.15
138.505	373.15
138.885	374.15
139.264	375.15
139.643	376.15
140.022	377.15
140.4	378.15
140.779	379.15
141.158	380.15
141.536	381.15
141.914	382.15
142.293	383.15
142.671	384.15
143.049	385.15
143.426	386.15
143.804	387.15
144.182	388.15
144.559	389.15
144.937	390.15
145.314	391.15
145.691	392.15
146.068	393.15
146.445	394.15
146.822	395.15
147.198	396.15
147.575	397.15
147.951	398.15
148.328	399.15
148.704	400.15
149.08	401.15
149.456	402.15
149.832	403.15
150.208	404.15
150.583	405.15
150.959	406.15
151.334	407.15
151.71	408.15
152.085	409.15
152.46	410.15
152.835	411.15
153.21	412.15
153.584	413.15
153.959	414.15
154.333	415.15
154.708	416.15
155.082	417.15
155.456	418.15
155.83	419.15
156.204	420.15
156.578	421.15
156.952	422.15
157.325	423.15
157.699	424.15
158.072	425.15
158.445	426.15
158.818	427.15
159.191	428.15
159.564	429.15
159.937	430.15
160.309	431.15
160.682	432.15
161.054	433.15
161.427	434.15
161.799	435.15
162.171	436.15
162.543	437.15
162.915	438.15
163.286	439.15
163.658	440.15
164.03	441.15
164.401	442.15
164.772	443.15
165.143	444.15
165.514	445.15
165.885	446.15
166.256	447.15
166.627	448.15
166.997	449.15
167.368	450.15
167.738	451.15
168.108	452.15
168.478	453.15
168.848	454.15
169.218	455.15
169.588	456.15
169.958	457.15
170.327	458.15
170.696	459.15
171.066	460.15
171.435	461.15
171.804	462.15
172.173	463.15
172.542	464.15
172.91	465.15
173.279	466.15
173.648	467.15
174.016	468.15
174.384	469.15
174.752	470.15
175.12	471.15
175.488	472.15
175.856	473.15
176.224	474.15
176.591	475.15
176.959	476.15
177.326	477.15
177.693	478.15
178.06	479.15
178.427	480.15
178.794	481.15
179.161	482.15
179.528	483.15
179.894	484.15
180.26	485.15
180.627	486.15
180.993	487.15
181.359	488.15
181.725	489.15
182.091	490.15
182.456	491.15
182.822	492.15
183.188	493.15
183.553	494.15
183.918	495.15
184.283	496.15
184.648	497.15
185.013	498.15
185.378	499.15
185.743	500.15
186.107	501.15
186.472	502.15
186.836	503.15
187.2	504.15
187.564	505.15
